1 read, 1 timestamp, 2 read, 2 timestamp, 3 read, 3 timestamp, 4 read, 4 timestamp
352,40,327,48,615,56,583,68
344,92,327,100,624,108,615,116
359,140,327,152,611,160,636,168
368,192,327,200,611,212,639,220
369,244,327,252,611,260,632,272
384,296,327,304,615,312,639,320
384,344,327,352,611,364,639,372
385,396,327,404,611,412,639,424
391,448,327,456,611,464,639,472
391,496,335,504,615,516,639,524
399,548,348,556,624,564,639,576
412,600,355,608,624,616,655,624
414,648,368,660,620,668,639,676
414,700,384,708,624,716,636,728
414,752,384,760,632,768,639,776
412,800,384,812,632,820,655,828
408,852,391,860,632,868,647,880
391,904,399,912,632,920,638,928
391,952,399,964,636,972,639,980
387,1004,399,1012,632,1024,639,1036
387,1060,399,1072,632,1080,655,1088
387,1112,391,1120,632,1132,639,1140
384,1164,384,1172,624,1180,639,1192
384,1216,368,1224,624,1232,639,1240
384,1264,355,1272,624,1284,654,1292
384,1316,352,1324,624,1332,654,1344
368,1368,344,1376,615,1384,655,1392
355,1416,335,1424,615,1436,639,1444
355,1468,327,1476,615,1484,639,1496
352,1520,319,1528,615,1536,639,1544
352,1568,316,1580,611,1588,639,1596
352,1620,312,1628,608,1636,639,1648
352,1672,304,1680,608,1688,639,1696
352,1720,295,1732,608,1740,654,1748
353,1772,287,1780,608,1788,655,1800
359,1824,287,1832,604,1840,639,1848
352,1872,287,1884,600,1892,639,1900
352,1924,286,1932,604,1944,639,1952
359,1976,287,1984,608,1992,639,2004
368,2028,287,2036,608,2044,639,2060
355,2084,295,2092,609,2100,639,2112
368,2136,302,2144,608,2152,639,2160
376,2184,312,2192,608,2204,638,2212
376,2236,319,2244,615,2252,639,2264
384,2288,335,2296,615,2304,639,2312
384,2336,352,2344,620,2356,639,2364
384,2388,355,2396,620,2404,654,2416
387,2440,359,2448,624,2456,639,2464
391,2488,359,2500,624,2508,639,2516
408,2540,355,2548,624,2556,639,2568
408,2592,353,2600,624,2608,639,2616
408,2640,355,2652,620,2660,639,2668
399,2692,359,2700,624,2708,639,2720
391,2744,368,2752,624,2760,639,2768
385,2792,369,2804,624,2812,639,2820
384,2844,369,2852,624,2864,639,2872
384,2896,369,2904,624,2912,639,2924
376,2948,368,2956,624,2964,639,2972
366,2996,359,3004,624,3016,654,3024
359,3048,352,3056,620,3064,639,3080
352,3104,344,3112,624,3120,639,3128
355,3152,335,3160,615,3172,639,3180
352,3204,327,3212,615,3220,639,3232
348,3256,327,3264,615,3272,639,3280
352,3304,319,3316,611,3324,639,3332
355,3356,316,3364,609,3372,639,3384
352,3408,305,3416,608,3424,639,3432
352,3456,295,3468,608,3476,639,3484
352,3508,295,3516,608,3524,639,3536
359,3560,304,3568,608,3576,639,3584
359,3608,312,3620,611,3628,639,3636
369,3660,319,3668,611,3680,639,3688
384,3712,319,3720,609,3728,639,3740
384,3764,319,3772,611,3780,638,3788
391,3812,319,3820,611,3832,639,3840
399,3864,319,3872,611,3880,639,3892
412,3916,319,3924,611,3932,655,3940
415,3964,319,3972,608,3984,639,3992
415,4016,334,4024,611,4032,636,4044
415,4068,344,4076,620,4084,639,4092
414,4124,359,4132,632,4140,638,4152
415,4176,384,4184,625,4192,652,4200
414,4224,384,4236,632,4244,664,4252
412,4276,387,4284,625,4292,655,4304
399,4328,385,4336,624,4344,639,4352
398,4376,385,4388,632,4396,639,4404
391,4428,384,4436,632,4444,654,4456
385,4480,384,4488,624,4496,654,4504
384,4528,384,4540,624,4548,639,4556
