1 read, 1 timestamp, 2 read, 2 timestamp, 3 read, 3 timestamp, 4 read, 4 timestamp
352,48,318,56,611,64,615,76
355,100,319,108,609,116,632,124
359,148,327,156,615,168,639,176
369,200,327,208,615,216,639,228
384,252,319,260,615,268,639,276
376,300,319,308,611,320,639,328
369,352,312,360,608,368,639,380
368,404,312,412,609,420,639,428
368,452,305,464,608,472,639,480
355,512,305,520,615,532,638,540
368,564,304,572,609,580,639,592
368,616,305,624,608,632,654,640
359,664,312,672,608,684,639,692
355,716,318,724,609,732,639,744
359,768,319,776,611,784,652,792
368,816,316,828,609,836,654,844
353,876,319,884,615,892,655,900
359,924,319,936,609,944,639,952
359,976,319,984,611,992,639,1012
352,1036,319,1044,615,1052,639,1064
359,1088,319,1096,615,1104,639,1112
368,1136,316,1144,611,1156,639,1164
376,1188,304,1196,608,1204,655,1216
366,1240,302,1248,608,1256,639,1264
368,1288,304,1300,608,1308,639,1316
384,1340,304,1348,608,1356,639,1368
384,1392,304,1400,608,1408,655,1416
369,1440,304,1452,608,1460,639,1468
369,1492,312,1500,608,1508,639,1520
359,1552,312,1560,615,1568,639,1580
369,1604,312,1612,609,1620,639,1628
369,1652,312,1664,609,1672,654,1680
384,1704,312,1712,609,1720,639,1732
384,1756,316,1764,608,1772,652,1780
384,1804,327,1816,611,1824,639,1832
384,1856,335,1864,620,1872,639,1884
368,1912,344,1924,625,1932,639,1940
384,1964,352,1972,620,1980,654,1992
384,2016,355,2024,624,2032,639,2052
376,2076,359,2084,632,2092,639,2100
384,2124,368,2136,624,2144,647,2152
369,2176,368,2184,624,2192,639,2204
376,2228,384,2236,632,2244,639,2252
384,2276,384,2288,625,2296,655,2304
384,2328,384,2336,625,2344,639,2356
384,2380,384,2388,632,2396,639,2404
384,2428,384,2440,632,2448,639,2456
384,2480,384,2488,632,2500,639,2508
391,2532,368,2540,624,2548,652,2560
387,2592,384,2600,632,2608,638,2616
391,2640,384,2652,624,2660,654,2668
398,2692,385,2700,632,2708,652,2720
399,2744,391,2752,632,2760,639,2768
399,2792,391,2804,632,2812,654,2820
399,2844,391,2852,632,2864,639,2872
399,2896,398,2904,632,2920,654,2928
399,2952,391,2960,636,2972,655,2980
412,3004,384,3012,624,3020,639,3032
408,3056,369,3064,624,3072,639,3080
408,3112,364,3124,625,3132,654,3140
408,3164,355,3172,624,3180,639,3192
399,3216,352,3224,622,3232,639,3240
