4124,335,9132,84,8972,335,8980,615,8988,639,9000
384,9024,335,9032,615,9040,639,9048
384,9072,335,9080,615,9092,639,9100
384,9124,335,9132,84,8972,335,8980,615,8988,639,9000
384,9024,335,9032,615,9040,639,9048
384,9072,335,9080,615,9092,639,9100
384,9124,335,9132,84,8972,335,8980,615,8988,639,9000
384,9024,335,9032,615,9040,639,9048
384,9072,335,9080,615,9092,639,9100
384,9124,335,9132,1 read, 1 timestamp, 2 read, 2 timestamp, 3 read, 3 timestamp, 4 read, 4 timestamp
368,40,335,48,615,56,591,68
352,92,344,100,620,108,624,116
368,140,344,152,615,160,624,168
384,192,344,200,615,212,639,220
384,244,344,252,615,260,639,272
384,296,344,304,615,312,639,320
376,344,344,352,615,364,639,372
384,396,344,404,615,412,639,424
384,448,344,456,615,464,639,472
384,496,344,504,615,516,652,524
384,548,344,556,615,564,639,576
384,600,339,608,615,616,654,624
384,648,344,660,615,668,655,676
384,700,344,708,615,716,639,728
384,752,348,760,615,768,639,776
384,800,344,812,615,820,639,828
384,852,344,860,615,868,639,880
384,904,344,912,615,920,636,928
384,952,344,964,615,972,639,980
384,1004,344,1012,615,1024,655,1036
384,1060,335,1072,615,1080,639,1088
384,1112,339,1120,615,1132,639,1140
384,1164,344,1172,615,1180,639,1192
384,1216,348,1224,615,1232,639,1240
384,1264,344,1272,615,1284,639,1292
384,1316,344,1324,615,1332,639,1344
384,1368,344,1376,615,1384,639,1392
384,1416,344,1424,615,1436,652,1444
384,1468,344,1476,615,1484,639,1496
384,1520,335,1528,615,1536,639,1544
384,1568,335,1580,615,1588,639,1596
384,1620,344,1628,615,1636,639,1648
384,1672,348,1680,615,1688,639,1696
384,1720,344,1732,615,1740,639,1748
384,1772,335,1780,615,1788,639,1800
384,1824,339,1832,615,1840,639,1848
384,1872,344,1884,615,1892,639,1900
384,1924,348,1932,615,1944,639,1952
384,1976,335,1984,615,1992,639,2004
384,2028,335,2036,615,2044,639,2060
368,2084,344,2092,624,2100,639,2112
384,2136,348,2144,615,2152,639,2160
384,2184,344,2192,615,2204,639,2212
384,2236,344,2244,615,2252,639,2264
384,2288,344,2296,615,2304,652,2312
384,2336,344,2344,615,2356,639,2364
384,2388,344,2396,615,2404,639,2416
384,2440,344,2448,615,2456,639,2464
384,2488,335,2500,615,2508,639,2516
376,2540,344,2548,615,2556,639,2568
384,2592,344,2600,615,2608,639,2616
384,2640,344,2652,615,2660,639,2668
384,2692,344,2700,615,2708,639,2720
384,2744,344,2752,615,2760,639,2768
384,2792,344,2804,615,2812,639,2820
384,2844,344,2852,615,2864,639,2872
384,2896,344,2904,620,2912,639,2924
384,2948,344,2956,615,2964,639,2972
384,2996,344,3004,615,3016,639,3024
384,3048,344,3056,615,3064,639,3080
368,3104,344,3112,624,3120,638,3128
384,3152,344,3160,620,3172,639,3180
384,3204,344,3212,615,3220,655,3232
384,3256,344,3264,615,3272,639,3280
384,3304,344,3316,615,3324,639,3332
376,3356,344,3364,620,3372,639,3384
384,3408,344,3416,620,3424,639,3432
384,3456,348,3468,615,3476,655,3484
384,3508,344,3516,615,3524,636,3536
384,3560,339,3568,615,3576,639,3584
384,3608,335,3620,615,3628,639,3636
384,3660,344,3668,615,3680,639,3688
384,3712,348,3720,615,3728,654,3740
376,3764,344,3772,615,3780,638,3788
384,3812,335,3820,615,3832,636,3840
384,3864,337,3872,615,3880,639,3892
384,3916,344,3924,615,3932,639,3940
384,3964,344,3972,615,3984,638,3992
384,4016,339,4024,615,4032,639,4044
376,4068,335,4076,615,4084,639,4092
368,4124,344,4132,624,4140,639,4152
384,4176,348,4184,620,4192,654,4200
